DATAEMISSAO;CODIGOCLIENTE;DESCRICAOCLIENTE;CODIGOGRUPOPRODUTO;DESCRICAOGRUPOPRODUTO;CODIGOPRODUTO;NOMEPRODUTO;TIPOFATURAMENTO;DESCRICAOTIPOFATURAMENTO;VOLUME;VALORLIQUIDO;MES
2025-12-01;10004227;LOGÍSTICA INTEGRAL DE BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015850;Drink Misto Melancia 269ml;1;VENDA;927;17232.93;Dezembro
2025-12-01;10004231;DISTRIBUIDORA REINO DAS BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015849;Drink Misto Blueberry 330ml;1;VENDA;231;2903.67;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;90013041;Cervejas Artesanais Lupuladas;10026840;Cerveja Session IPA Light 355ml;1;VENDA;998;17894.14;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;90013060;Bebidas Prontas para Consumo (RTD);10003696;Gin Tônica Limão 269ml;1;VENDA;1551;22008.69;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;90013172;Bebidas Mistas Alcoólicas;10015848;Drink Misto Blueberry 269ml;1;VENDA;938;18000.22;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;90013172;Bebidas Mistas Alcoólicas;10015851;Drink Misto Maracujá 269ml;1;VENDA;887;10998.800000000001;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;91503404;Bebidas Gasosas Saborizadas;10022638;Soda Limonada Classic 350ml;1;VENDA;345;2760.0;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;91503409;Bebidas Prontas Geladas;10021537;Hard Seltzer Abacaxi 310ml;1;VENDA;539;9696.609999999999;Dezembro
2025-12-01;10004238;LOGÍSTICA BEBIDAS DO BRASIL;90013032;Vinhos Tintos Importados;10001164;Vinho Tinto Cabernet Reservado 750ml;1;VENDA;1852;36743.68;Dezembro
2025-12-01;10000964;LOGÍSTICA ESSENCIAL BEBIDAS;90013201;Cervejas Artesanais Premium;10001163;Cerveja Artesanal Alpha Gold 600ml;1;VENDA;1797;10278.84;Dezembro
2025-12-01;10000964;LOGÍSTICA ESSENCIAL BEBIDAS;91503409;Bebidas Prontas Geladas;10021536;Hard Seltzer Tangerina 310ml;1;VENDA;77;1237.39;Dezembro
2025-12-01;10001683;ATACADISTA BRINDE AMIGO;91503409;Bebidas Prontas Geladas;10021536;Hard Seltzer Tangerina 310ml;1;VENDA;1929;23958.18;Dezembro
2025-12-01;10004001;LOGÍSTICA GARRAFAS & LOG;90013018;Destilados Premium;10016862;Gin London Dry Premium 750ml;1;VENDA;1609;28962.0;Dezembro
2025-12-01;10004001;LOGÍSTICA GARRAFAS & LOG;90013022;Insumos para Produção de Bebidas;10026538;Lúpulo em Pellet para Brassagem 5kg;3;BONIFICAÇÃO;17;68.33999999999999;Dezembro
2025-12-01;10004001;LOGÍSTICA GARRAFAS & LOG;91503404;Bebidas Gasosas Saborizadas;10022637;Água Tônica com Limão 350ml;1;VENDA;385;4046.35;Dezembro
2025-12-01;10004002;COMERCIAL MUNDO DAS BEBIDAS;90013159;Cervejas Puro Malte;10002818;Cerveja Puro Malte Premium 355ml;1;VENDA;1178;11261.68;Dezembro
2025-12-01;10004002;COMERCIAL MUNDO DAS BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015848;Drink Misto Blueberry 269ml;1;VENDA;1415;8985.25;Dezembro
2025-12-01;10004005;DISTRIBUIDORA SABOR DAS BEBIDAS;90013153;Refrigerantes Sabor Cola;10001864;Refri Cola Original 250ml;1;VENDA;1177;16171.98;Dezembro
2025-12-01;10004005;DISTRIBUIDORA SABOR DAS BEBIDAS;90013153;Refrigerantes Sabor Cola;10001865;Refri Cola Original 600ml;1;VENDA;315;2617.65;Dezembro
2025-12-01;10004005;DISTRIBUIDORA SABOR DAS BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015848;Drink Misto Blueberry 269ml;1;VENDA;136;1374.96;Dezembro
2025-12-01;10004005;DISTRIBUIDORA SABOR DAS BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015854;Pack Econômico Drink Misto 269ml;1;VENDA;1369;7296.77;Dezembro
2025-12-01;10004005;DISTRIBUIDORA SABOR DAS BEBIDAS;90013216;Cervejas Industriais Premium;10003734;Cerveja Premium Export 600ml;1;VENDA;952;6825.84;Dezembro
2025-12-01;10004007;LOGÍSTICA GUARDA BEBIDAS;90013094;Bebidas Energéticas Premium;10020280;Energético Red Blue Original 250ml;1;VENDA;1072;9905.28;Dezembro
2025-12-01;10004011;DISTRIBUIDORA BEM-ESTAR BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015848;Drink Misto Blueberry 269ml;1;VENDA;1419;11195.91;Dezembro
2025-12-01;10004011;DISTRIBUIDORA BEM-ESTAR BEBIDAS;91503402;Bebidas Energéticas Funcionais;10022946;Energético Focus Max 250ml (Lata);1;VENDA;169;2829.06;Dezembro
2025-12-01;10004011;DISTRIBUIDORA BEM-ESTAR BEBIDAS;91503402;Bebidas Energéticas Funcionais;10022949;Energético Focus Max 1L (Garrafa);1;VENDA;1740;27735.6;Dezembro
2025-12-01;10004201;SUPRIMENTOS PREMIUM BEVERAGES;90013023;Destilados Especiais;10013359;Rum Carta Blanca Especial 1L;1;VENDA;716;8284.12;Dezembro
2025-12-01;10004201;SUPRIMENTOS PREMIUM BEVERAGES;90013094;Bebidas Energéticas Premium;10020283;Energético Red Blue Summer Edition 250ml;1;VENDA;207;3283.02;Dezembro
2025-12-01;10004202;CENTRAL CONFORT BEBIDAS;90013006;Bebidas Funcionais Vitaminadas;10022282;Isotônico Uva Vitaminado 500ml;1;VENDA;1497;23428.05;Dezembro
2025-12-01;10004202;CENTRAL CONFORT BEBIDAS;91503404;Bebidas Gasosas Saborizadas;10022636;Água Tônica Tradicional 350ml;1;VENDA;318;2811.12;Dezembro
2025-12-01;10004203;ATACADISTA BRINDE FINO;90013041;Cervejas Artesanais Lupuladas;10008019;Cerveja IPA Imperial Lúpulo 473ml;1;VENDA;1805;34493.549999999996;Dezembro
2025-12-01;10004203;ATACADISTA BRINDE FINO;91503402;Bebidas Energéticas Funcionais;10022949;Energético Focus Max 1L (Garrafa);2;DEVOLUÇÃO DE VENDA;-402;-3533.5799999999995;Dezembro
2025-12-01;10004204;LOGÍSTICA VALE DAS BEBIDAS;91503402;Bebidas Energéticas Funcionais;10022965;Energético Focus Max Zero 473ml;1;VENDA;240;4305.6;Dezembro
2025-12-01;10004209;DISTRIBUIDORA VIDA DE BEBIDA;90013082;Cervejas Regionais;10021924;Cerveja Pilsen Regional do Sul 600ml;1;VENDA;1673;26316.29;Dezembro
2025-12-01;10004209;DISTRIBUIDORA VIDA DE BEBIDA;91503404;Bebidas Gasosas Saborizadas;10022639;Soda Limonada Diet 350ml;1;VENDA;214;4254.32;Dezembro
2025-12-01;10004209;DISTRIBUIDORA VIDA DE BEBIDA;91503409;Bebidas Prontas Geladas;10021535;Hard Seltzer Amora 310ml;13;COMPRA;1886;15484.060000000001;Dezembro
2025-12-01;10004212;DISTRIBUIDORA PORTAL DAS BEBIDAS;90013060;Bebidas Prontas para Consumo (RTD);10003698;Gin Tônica Frutas Vermelhas 269ml;1;VENDA;1821;34744.68;Dezembro
2025-12-01;10004215;CENTRAL DE SUPRIMENTOS DE BEBIDAS;90013014;Sucos Naturais Premium;10008336;Suco de Laranja Integral 300ml;1;VENDA;1450;25273.5;Dezembro
2025-12-01;10004215;CENTRAL DE SUPRIMENTOS DE BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015856;Drink Misto Lemonade 269ml;1;VENDA;644;8790.6;Dezembro
2025-12-01;10004216;DISTRIBUIDORA VIVA BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015850;Drink Misto Melancia 269ml;3;BONIFICAÇÃO;31;46.19;Dezembro
2025-12-01;10004220;ATACADO COPO GELADO;90013094;Bebidas Energéticas Premium;10020281;Energético Red Blue Sugar Free 250ml;1;VENDA;589;9341.539999999999;Dezembro
2025-12-01;10004220;ATACADO COPO GELADO;90013094;Bebidas Energéticas Premium;10020283;Energético Red Blue Summer Edition 250ml;1;VENDA;1138;17047.24;Dezembro
2025-12-01;10004220;ATACADO COPO GELADO;90013172;Bebidas Mistas Alcoólicas;10015848;Drink Misto Blueberry 269ml;1;VENDA;1811;23923.31;Dezembro
2025-12-01;10004221;DISTRIBUIDORA BRINDE & AMIGOS;91503402;Bebidas Energéticas Funcionais;10022965;Energético Focus Max Zero 473ml;3;BONIFICAÇÃO;4;10.28;Dezembro
2025-12-01;10004223;LOGÍSTICA BEBIDAS DO SUL;90013094;Bebidas Energéticas Premium;10020281;Energético Red Blue Sugar Free 250ml;1;VENDA;724;14045.599999999999;Dezembro
2025-12-01;10004225;DISTRIBUIDORA BRINDE ATIVO;91503404;Bebidas Gasosas Saborizadas;10022638;Soda Limonada Classic 350ml;1;VENDA;1512;12035.52;Dezembro
2025-12-01;10004227;LOGÍSTICA INTEGRAL DE BEBIDAS;91503402;Bebidas Energéticas Funcionais;10022953;Energético Focus Max 500ml (Garrafa);1;VENDA;1030;6942.2;Dezembro
2025-12-01;10004228;SUPRIMENTOS BRINDE UNIDO;90013172;Bebidas Mistas Alcoólicas;10015857;Drink Misto Peach 269ml;1;VENDA;162;1085.4;Dezembro
2025-12-01;10004231;DISTRIBUIDORA REINO DAS BEBIDAS;90013041;Cervejas Artesanais Lupuladas;10026840;Cerveja Session IPA Light 355ml;1;VENDA;1761;10460.34;Dezembro
2025-12-01;10004231;DISTRIBUIDORA REINO DAS BEBIDAS;90013094;Bebidas Energéticas Premium;10020282;Energético Red Blue Tropical Edition 250ml;1;VENDA;476;4226.88;Dezembro
2025-12-01;10004231;DISTRIBUIDORA REINO DAS BEBIDAS;90013211;Controle de Qualidade de Bebidas;10023312;Kit para Teste de Pureza de Bebidas;1;VENDA;644;8088.64;Dezembro
2025-12-01;10004232;COMERCIAL ALPHA BEBIDAS;90013060;Bebidas Prontas para Consumo (RTD);10003703;Mojito Pronto Lata 269ml;1;VENDA;1724;19739.8;Dezembro
2025-12-01;10004232;COMERCIAL ALPHA BEBIDAS;90013094;Bebidas Energéticas Premium;10020282;Energético Red Blue Tropical Edition 250ml;1;VENDA;27;214.92;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;90013153;Refrigerantes Sabor Cola;10001864;Refri Cola Original 250ml;1;VENDA;412;6563.16;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;90013172;Bebidas Mistas Alcoólicas;10015851;Drink Misto Maracujá 269ml;1;VENDA;642;9918.9;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;90013172;Bebidas Mistas Alcoólicas;10015855;Drink Misto Pineapple 269ml;1;VENDA;1658;13015.3;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;91503405;Energéticos de Alta Performance;10023656;Shot Energético Ultra-Concentrado 60ml;1;VENDA;1713;32615.519999999997;Dezembro
2025-12-01;10004236;ATACADISTA SELEÇÃO DE BEBIDAS;90013041;Cervejas Artesanais Lupuladas;10008019;Cerveja IPA Imperial Lúpulo 473ml;1;VENDA;274;4978.580000000001;Dezembro
2025-12-01;10004237;LOGÍSTICA MUNDO DAS BEBIDAS;90013006;Bebidas Funcionais Vitaminadas;10022282;Isotônico Uva Vitaminado 500ml;1;VENDA;880;5843.2;Dezembro
2025-12-01;10004237;LOGÍSTICA MUNDO DAS BEBIDAS;90013032;Vinhos Tintos Importados;10001164;Vinho Tinto Cabernet Reservado 750ml;1;VENDA;333;4285.71;Dezembro
2025-12-01;10004237;LOGÍSTICA MUNDO DAS BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015849;Drink Misto Blueberry 330ml;2;DEVOLUÇÃO DE VENDA;-414;-3866.7599999999998;Dezembro
2025-12-01;10004237;LOGÍSTICA MUNDO DAS BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015851;Drink Misto Maracujá 269ml;1;VENDA;581;9086.84;Dezembro
2025-12-01;10004238;LOGÍSTICA BEBIDAS DO BRASIL;90013014;Sucos Naturais Premium;10008337;Suco de Laranja Integral 500ml;1;VENDA;187;1202.4099999999999;Dezembro
2025-12-01;10004238;LOGÍSTICA BEBIDAS DO BRASIL;90013172;Bebidas Mistas Alcoólicas;10015856;Drink Misto Lemonade 269ml;3;BONIFICAÇÃO;37;55.5;Dezembro
2025-12-01;10000964;LOGÍSTICA ESSENCIAL BEBIDAS;90013032;Vinhos Tintos Importados;10003736;Vinho Tinto Malbec Argentino 750ml;1;VENDA;224;2302.72;Dezembro
2025-12-01;10000964;LOGÍSTICA ESSENCIAL BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015857;Drink Misto Peach 269ml;1;VENDA;901;8694.65;Dezembro
2025-12-01;10000964;LOGÍSTICA ESSENCIAL BEBIDAS;91503404;Bebidas Gasosas Saborizadas;10022636;Água Tônica Tradicional 350ml;1;VENDA;25;216.25;Dezembro
2025-12-01;10004001;LOGÍSTICA GARRAFAS & LOG;90013172;Bebidas Mistas Alcoólicas;10015848;Drink Misto Blueberry 269ml;1;VENDA;668;12965.88;Dezembro
2025-12-01;10004001;LOGÍSTICA GARRAFAS & LOG;90013172;Bebidas Mistas Alcoólicas;10015853;Drink Misto Fire 269ml;3;BONIFICAÇÃO;7;22.26;Dezembro
2025-12-01;10004001;LOGÍSTICA GARRAFAS & LOG;91503405;Energéticos de Alta Performance;10023656;Shot Energético Ultra-Concentrado 60ml;1;VENDA;956;15114.36;Dezembro
2025-12-01;10004002;COMERCIAL MUNDO DAS BEBIDAS;90013032;Vinhos Tintos Importados;10001164;Vinho Tinto Cabernet Reservado 750ml;1;VENDA;1666;17059.84;Dezembro
2025-12-01;10004003;REDE BRINDE FELIZ DISTRIBUIÇÃO;90013014;Sucos Naturais Premium;10008337;Suco de Laranja Integral 500ml;1;VENDA;893;8304.900000000001;Dezembro
2025-12-01;10004003;REDE BRINDE FELIZ DISTRIBUIÇÃO;90013060;Bebidas Prontas para Consumo (RTD);10005769;Pack 4 Unidades Gin Tônica 269ml;1;VENDA;42;330.12;Dezembro
2025-12-01;10004003;REDE BRINDE FELIZ DISTRIBUIÇÃO;90013172;Bebidas Mistas Alcoólicas;10015854;Pack Econômico Drink Misto 269ml;1;VENDA;376;3357.68;Dezembro
2025-12-01;10004003;REDE BRINDE FELIZ DISTRIBUIÇÃO;91503402;Bebidas Energéticas Funcionais;10022946;Energético Focus Max 250ml (Lata);1;VENDA;1323;23245.11;Dezembro
2025-12-01;10004003;REDE BRINDE FELIZ DISTRIBUIÇÃO;91503402;Bebidas Energéticas Funcionais;10022965;Energético Focus Max Zero 473ml;1;VENDA;1286;19007.079999999998;Dezembro
2025-12-01;10004004;CENTRAL DE NUTRIÇÃO E BEBIDAS;90013014;Sucos Naturais Premium;10008337;Suco de Laranja Integral 500ml;1;VENDA;1201;12682.560000000001;Dezembro
2025-12-01;10004004;CENTRAL DE NUTRIÇÃO E BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015854;Pack Econômico Drink Misto 269ml;1;VENDA;1963;28679.43;Dezembro
2025-12-01;10004004;CENTRAL DE NUTRIÇÃO E BEBIDAS;91503402;Bebidas Energéticas Funcionais;10022949;Energético Focus Max 1L (Garrafa);1;VENDA;1768;14002.56;Dezembro
2025-12-01;10004004;CENTRAL DE NUTRIÇÃO E BEBIDAS;91503404;Bebidas Gasosas Saborizadas;10022639;Soda Limonada Diet 350ml;1;VENDA;1910;25326.6;Dezembro
2025-12-01;10004006;SUPRIMENTOS GARRAFAS & COPO;90013060;Bebidas Prontas para Consumo (RTD);10003698;Gin Tônica Frutas Vermelhas 269ml;1;VENDA;1315;10046.6;Dezembro
2025-12-01;10004006;SUPRIMENTOS GARRAFAS & COPO;90013094;Bebidas Energéticas Premium;10020280;Energético Red Blue Original 250ml;1;VENDA;1666;11662.0;Dezembro
2025-12-01;10004007;LOGÍSTICA GUARDA BEBIDAS;90013210;Produção de Bebidas em Grande Escala;10023219;Concentrado de Xarope Laranja 50L;1;VENDA;662;9890.279999999999;Dezembro
2025-12-01;10004201;SUPRIMENTOS PREMIUM BEVERAGES;90013094;Bebidas Energéticas Premium;10020280;Energético Red Blue Original 250ml;1;VENDA;1722;9780.96;Dezembro
2025-12-01;10004209;DISTRIBUIDORA VIDA DE BEBIDA;90013153;Refrigerantes Sabor Cola;10001864;Refri Cola Original 250ml;3;BONIFICAÇÃO;9;37.62;Dezembro
2025-12-01;10004210;CENTRAL LOGÍSTICA DAS BEBIDAS;90013060;Bebidas Prontas para Consumo (RTD);10003700;Vodka e Citrus Lata 269ml;13;COMPRA;618;3331.02;Dezembro
2025-12-01;10004211;DISTRIBUIDORA TUDO EM BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015848;Drink Misto Blueberry 269ml;1;VENDA;745;13894.249999999998;Dezembro
2025-12-01;10004215;CENTRAL DE SUPRIMENTOS DE BEBIDAS;91503402;Bebidas Energéticas Funcionais;10022946;Energético Focus Max 250ml (Lata);1;VENDA;457;3930.2;Dezembro
2025-12-01;10004219;SUPRIMENTOS MASTER BEBIDAS;91503404;Bebidas Gasosas Saborizadas;10022636;Água Tônica Tradicional 350ml;1;VENDA;815;10880.25;Dezembro
2025-12-01;10004219;SUPRIMENTOS MASTER BEBIDAS;91503409;Bebidas Prontas Geladas;10021538;Hard Seltzer Pack Mix 310ml;1;VENDA;986;8597.92;Dezembro
2025-12-01;10004221;DISTRIBUIDORA BRINDE & AMIGOS;90013068;Cervejas Especiais de Trigo;10003720;Cerveja Weiss Trigo Dunkel 500ml;1;VENDA;1448;21024.96;Dezembro
2025-12-01;10004221;DISTRIBUIDORA BRINDE & AMIGOS;90013153;Refrigerantes Sabor Cola;10001866;Refri Cola Original 2L;3;BONIFICAÇÃO;10;45.5;Dezembro
2025-12-01;10004221;DISTRIBUIDORA BRINDE & AMIGOS;91503402;Bebidas Energéticas Funcionais;10022965;Energético Focus Max Zero 473ml;1;VENDA;1262;24482.8;Dezembro
2025-12-01;10004223;LOGÍSTICA BEBIDAS DO SUL;90013022;Insumos para Produção de Bebidas;10026538;Lúpulo em Pellet para Brassagem 5kg;1;VENDA;242;2695.88;Dezembro
2025-12-01;10004225;DISTRIBUIDORA BRINDE ATIVO;90013022;Insumos para Produção de Bebidas;10026538;Lúpulo em Pellet para Brassagem 5kg;1;VENDA;198;1265.22;Dezembro
2025-12-01;10004227;LOGÍSTICA INTEGRAL DE BEBIDAS;90013006;Bebidas Funcionais Vitaminadas;10022283;Isotônico Tangerina Vitaminado 500ml;1;VENDA;190;1814.5000000000002;Dezembro
2025-12-01;10004231;DISTRIBUIDORA REINO DAS BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015856;Drink Misto Lemonade 269ml;1;VENDA;1098;14504.580000000002;Dezembro
2025-12-01;10004231;DISTRIBUIDORA REINO DAS BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015857;Drink Misto Peach 269ml;1;VENDA;542;9474.16;Dezembro
2025-12-01;10004231;DISTRIBUIDORA REINO DAS BEBIDAS;91503404;Bebidas Gasosas Saborizadas;10022638;Soda Limonada Classic 350ml;1;VENDA;1791;21115.89;Dezembro
2025-12-01;10004232;COMERCIAL ALPHA BEBIDAS;90013201;Cervejas Artesanais Premium;10001163;Cerveja Artesanal Alpha Gold 600ml;1;VENDA;554;4864.12;Dezembro
2025-12-01;10004232;COMERCIAL ALPHA BEBIDAS;91503404;Bebidas Gasosas Saborizadas;10022639;Soda Limonada Diet 350ml;1;VENDA;872;11789.44;Dezembro
2025-12-01;10004236;ATACADISTA SELEÇÃO DE BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015850;Drink Misto Melancia 269ml;1;VENDA;68;881.2800000000001;Dezembro
2025-12-01;10004236;ATACADISTA SELEÇÃO DE BEBIDAS;90013210;Produção de Bebidas em Grande Escala;10023211;Concentrado de Xarope Guaraná 50L;1;VENDA;503;8254.23;Dezembro
2025-12-01;10004236;ATACADISTA SELEÇÃO DE BEBIDAS;91503404;Bebidas Gasosas Saborizadas;10022638;Soda Limonada Classic 350ml;1;VENDA;785;10134.35;Dezembro
2025-12-01;10004237;LOGÍSTICA MUNDO DAS BEBIDAS;91503409;Bebidas Prontas Geladas;10021534;Hard Seltzer Limão 310ml;1;VENDA;1228;8448.64;Dezembro
2025-12-01;10004238;LOGÍSTICA BEBIDAS DO BRASIL;90013041;Cervejas Artesanais Lupuladas;10008019;Cerveja IPA Imperial Lúpulo 473ml;1;VENDA;1755;11723.4;Dezembro
2025-12-01;10004238;LOGÍSTICA BEBIDAS DO BRASIL;90013172;Bebidas Mistas Alcoólicas;10015854;Pack Econômico Drink Misto 269ml;1;VENDA;871;15686.710000000001;Dezembro
2025-12-01;10004001;LOGÍSTICA GARRAFAS & LOG;90013079;Refrigerantes Sabor Frutas;10007784;Refrigerante de Guaraná 600ml;1;VENDA;269;2216.56;Dezembro
2025-12-01;10004005;DISTRIBUIDORA SABOR DAS BEBIDAS;90013060;Bebidas Prontas para Consumo (RTD);10003635;Gin Tônica em Lata 269ml;1;VENDA;1684;10272.4;Dezembro
2025-12-01;10004201;SUPRIMENTOS PREMIUM BEVERAGES;90013172;Bebidas Mistas Alcoólicas;10015855;Drink Misto Pineapple 269ml;1;VENDA;590;6891.2;Dezembro
2025-12-01;10004202;CENTRAL CONFORT BEBIDAS;90013060;Bebidas Prontas para Consumo (RTD);10003696;Gin Tônica Limão 269ml;1;VENDA;1409;17105.260000000002;Dezembro
2025-12-01;10004203;ATACADISTA BRINDE FINO;90013172;Bebidas Mistas Alcoólicas;10015850;Drink Misto Melancia 269ml;1;VENDA;1471;26021.99;Dezembro
2025-12-01;10004221;DISTRIBUIDORA BRINDE & AMIGOS;90013022;Insumos para Produção de Bebidas;10026538;Lúpulo em Pellet para Brassagem 5kg;1;VENDA;643;9014.86;Dezembro
2025-12-01;10004227;LOGÍSTICA INTEGRAL DE BEBIDAS;90013094;Bebidas Energéticas Premium;10020282;Energético Red Blue Tropical Edition 250ml;1;VENDA;1363;8736.83;Dezembro
2025-12-01;10004231;DISTRIBUIDORA REINO DAS BEBIDAS;91503404;Bebidas Gasosas Saborizadas;10022639;Soda Limonada Diet 350ml;1;VENDA;442;3748.1600000000003;Dezembro
2025-12-01;10004232;COMERCIAL ALPHA BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015849;Drink Misto Blueberry 330ml;1;VENDA;1843;14707.140000000001;Dezembro
2025-12-01;10004232;COMERCIAL ALPHA BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015851;Drink Misto Maracujá 269ml;1;VENDA;155;2143.65;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;91503402;Bebidas Energéticas Funcionais;10022946;Energético Focus Max 250ml (Lata);1;VENDA;1780;10252.8;Dezembro
2025-12-01;10004234;LOGÍSTICA BEBIDAS ATACADO FELIZ;91503409;Bebidas Prontas Geladas;10021536;Hard Seltzer Tangerina 310ml;1;VENDA;1182;18273.72;Dezembro
2025-12-01;10004237;LOGÍSTICA MUNDO DAS BEBIDAS;90013006;Bebidas Funcionais Vitaminadas;10022282;Isotônico Uva Vitaminado 500ml;1;VENDA;259;2185.96;Dezembro
2025-12-01;10000449;ATACADO BRINDE & CIA;90013032;Vinhos Tintos Importados;10024278;Vinho Tinto Merlot Chileno 750ml;1;VENDA;534;7262.4;Dezembro
